Frequency,CMD,S11_r,S11_x,S21_r,S21_x,S12_r,S12_x,S22_r,S22_x
1.29E+07,caps hf  0 0 1 56,-5.35E-01,1.19E-01,2.15E-01,7.69E-01,2.14E-01,7.70E-01,-5.04E-01,1.84E-01
1.29E+07,caps hf  0 0 1 57,-5.35E-01,1.19E-01,2.15E-01,7.69E-01,2.15E-01,7.70E-01,-5.03E-01,1.85E-01
1.29E+07,caps hf  0 0 1 58,-5.35E-01,1.19E-01,2.16E-01,7.69E-01,2.15E-01,7.70E-01,-5.03E-01,1.86E-01
1.29E+07,caps hf  0 0 1 59,-5.35E-01,1.19E-01,2.17E-01,7.69E-01,2.16E-01,7.70E-01,-5.02E-01,1.87E-01
1.29E+07,caps hf  0 0 1 60,-5.35E-01,1.18E-01,2.17E-01,7.69E-01,2.17E-01,7.69E-01,-5.02E-01,1.89E-01
1.29E+07,caps hf  0 0 1 61,-5.35E-01,1.18E-01,2.18E-01,7.68E-01,2.18E-01,7.69E-01,-5.01E-01,1.90E-01
1.29E+07,caps hf  0 0 1 62,-5.35E-01,1.18E-01,2.19E-01,7.68E-01,2.18E-01,7.69E-01,-5.01E-01,1.91E-01
1.29E+07,caps hf  0 0 1 63,-5.35E-01,1.18E-01,2.20E-01,7.68E-01,2.19E-01,7.69E-01,-5.00E-01,1.92E-01
1.29E+07,caps hf  0 0 2 0,-5.36E-01,1.14E-01,2.23E-01,7.67E-01,2.24E-01,7.67E-01,-4.97E-01,2.01E-01
1.29E+07,caps hf  0 0 2 1,-5.36E-01,1.13E-01,2.24E-01,7.67E-01,2.25E-01,7.67E-01,-4.97E-01,2.02E-01
1.29E+07,caps hf  0 0 2 2,-5.36E-01,1.13E-01,2.25E-01,7.66E-01,2.25E-01,7.67E-01,-4.96E-01,2.03E-01
1.29E+07,caps hf  0 0 2 3,-5.36E-01,1.13E-01,2.25E-01,7.66E-01,2.26E-01,7.67E-01,-4.96E-01,2.05E-01
