Frequency,CMD,S11_r,S11_x,S21_r,S21_x,S12_r,S12_x,S22_r,S22_x
12.9e6,caps hf ps1 0 15 6 16,-6.13077309551E-001,+9.36895658395E-002,+4.96670940390E-001,+5.49713161415E-001,+4.96114417758E-001,+5.49579159077E-001,-1.20726231752E-001,+5.98413730683E-001,
12.9e6,caps hf ps1 0 15 6 31,-6.15348644837E-001,+9.17639181877E-002,+4.99019719159E-001,+5.44759710869E-001,+4.99564900682E-001,+5.43771062991E-001,-1.08452449064E-001,+6.03028112873E-001,
12.9e6,caps hf ps1 0 15 6 32,-6.16883156737E-001,+9.11498213875E-002,+5.01112871780E-001,+5.42584002051E-001,+5.01154135437E-001,+5.41516312542E-001,-1.03576614213E-001,+6.05407639897E-001,
12.9e6,caps hf ps1 0 15 6 47,-6.18828292914E-001,+8.96256135162E-002,+5.03387494602E-001,+5.36330080382E-001,+5.03844291820E-001,+5.35878235942E-001,-9.11409938738E-002,+6.09098635576E-001,
12.9e6,caps hf ps1 0 15 6 48,-6.20210077904E-001,+8.85543350039E-002,+5.04677561601E-001,+5.35316868765E-001,+5.05370359455E-001,+5.35180372855E-001,-8.86149616353E-002,+6.11034186544E-001,
12.9e6,caps hf ps1 0 15 6 63,-6.22460827322E-001,+8.75065378787E-002,+5.06931564720E-001,+5.29499745042E-001,+5.07209359038E-001,+5.29295911721E-001,-7.79129408593E-002,+6.14455808006E-001,
12.9e6,caps hf ps1 0 16 0 0,-5.40925635786E-001,+2.40722502771E-001,+2.21734484578E-001,+7.31433850925E-001,+2.21445772829E-001,+7.32484055943E-001,-5.72035479609E-001,+1.07688072449E-001,
12.9e6,caps hf ps1 0 16 0 15,-5.41502457251E-001,+2.34068602242E-001,+2.37150041907E-001,+7.29921107235E-001,+2.36883086741E-001,+7.29913241922E-001,-5.61773482123E-001,+1.37571026687E-001,
12.9e6,caps hf ps1 0 16 0 16,-5.41141538867E-001,+2.31666750496E-001,+2.41855283066E-001,+7.28733819380E-001,+2.40482052349E-001,+7.28880390420E-001,-5.59532671516E-001,+1.45911401073E-001,
12.9e6,caps hf ps1 0 16 0 31,-5.41733607672E-001,+2.24488413067E-001,+2.56723343902E-001,+7.25723396190E-001,+2.55339492786E-001,+7.26160568525E-001,-5.48844737594E-001,+1.73742116868E-001,
12.9e6,caps hf ps1 0 16 0 32,-5.42033920566E-001,+2.20073478254E-001,+2.63211214050E-001,+7.23629862752E-001,+2.62845501854E-001,+7.24040771895E-001,-5.42535347270E-001,+1.87734639538E-001,
12.9e6,caps hf ps1 0 16 0 47,-5.43080851492E-001,+2.13114006125E-001,+2.77224201292E-001,+7.19605779478E-001,+2.77037812416E-001,+7.19963247949E-001,-5.30637600029E-001,+2.14131069502E-001,
12.9e6,caps hf ps1 0 16 0 48,-5.43388066139E-001,+2.11242211455E-001,+2.80835551643E-001,+7.18384928738E-001,+2.80497836759E-001,+7.19516401806E-001,-5.27381260812E-001,+2.21810163155E-001,
12.9e6,caps hf ps1 0 16 0 63,-5.44996738121E-001,+2.04383181338E-001,+2.93586435985E-001,+7.14500737929E-001,+2.94000976450E-001,+7.14748578344E-001,-5.14361051520E-001,+2.45764726164E-001,
12.9e6,caps hf ps1 0 16 1 0,-5.45699238031E-001,+2.02861626586E-001,+2.97808669955E-001,+7.12998231378E-001,+2.97155484118E-001,+7.14328222379E-001,-5.10112538420E-001,+2.53205828036E-001,
12.9e6,caps hf ps1 0 16 1 15,-5.46754676615E-001,+1.95963410130E-001,+3.10154994230E-001,+7.08239468847E-001,+3.10373608057E-001,+7.08430698461E-001,-4.96354202199E-001,+2.77460723129E-001,
12.9e6,caps hf ps1 0 16 1 16,-5.47124859751E-001,+1.93606504509E-001,+3.13789792050E-001,+7.06563760812E-001,+3.13617381779E-001,+7.07620961736E-001,-4.92347204793E-001,+2.84419759172E-001,
12.9e6,caps hf ps1 0 16 1 31,-5.48561477723E-001,+1.88022131827E-001,+3.25377002993E-001,+7.01292050747E-001,+3.25368610584E-001,+7.02052732218E-001,-4.79147111716E-001,+3.05942569712E-001,
